track_id,tags,genre,energy,key,valence,tempo_x,time_signature,chroma_stft_mean,chroma_stft_var,rms_var,spectral_centroid_mean,spectral_centroid_var,harmony_mean,perceptr_mean,tempo_y,mfcc1_variance,mfcc3_mean,mfcc3_variance,mfcc4_mean,mfcc4_variance,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean
TRMMBOJ128F429DAF3,reggae,Reggae,0.709,10,0.544,95.86,4,0.40264037,0.09341499,0.007862794,2230.874972370925,519164.9037463995,3.7863595e-06,8.683606e-05,95.703125,4244.5806,-16.441595,812.52167,44.393707,529.61505,-3.1865623,9.240644,-1.8590757,2.8567257,9.030948,5.0370393,3.9100368,9.506324,2.9108672,7.5548086,2.3117888,0.92423826,-3.0528476,-1.9310154,-3.9788966,3.9392233
TRAZBCS128F426A54B,reggae,Rap,0.666,8,0.78,89.942,4,0.4003095,0.09099311,0.0026392217,2066.5494281264523,366668.0792996907,-2.9155117e-06,-0.00019166461,89.10290948275862,3198.6667,-3.8179407,396.67004,26.929089,178.43063,0.9049841,9.64356,-0.91471326,6.3522263,2.410339,7.109596,-2.5142434,1.3593916,-0.77514,0.9631081,2.421255,5.402265,1.7072096,7.8421187,-0.93899524,1.766826
TRZMEZM128F4257453,reggae,Reggae,0.616,9,0.874,79.004,4,0.3273214,0.090794206,0.0029014503,3027.2977315950507,717279.7483036102,5.2661264e-05,-5.8032456e-05,161.4990234375,2670.4548,3.4210043,626.4432,22.502748,279.34967,-4.005575,7.665827,-11.355031,-0.34837267,-8.252393,2.5915425,-1.3844615,0.559469,-5.178859,1.0895268,-3.080432,-0.31266075,-4.074215,1.029083,-4.7956004,0.12211441
TRDFPUV128EF35F02D,"reggae, polish",Reggae,0.734,0,0.794,91.503,4,0.50142854,0.0722616,0.004386031,2551.3977314526983,1016984.8569707264,-1.6889951e-05,4.2275744e-05,92.28515625,2220.6997,7.0343595,400.77536,28.02751,219.81969,2.6166172,8.588829,6.3363338,13.370262,3.9228942,9.90884,3.772151,8.27556,4.753382,3.7066116,-0.14963822,3.3643832,0.08999442,1.1780282,-2.5845964,0.60894793
TRMDKWH128F42513A6,reggae,Reggae,0.409,9,0.503,66.649,4,0.3580437,0.093183815,0.0024677748,2872.467933920302,615563.7313936705,6.669283e-05,-7.302072e-05,135.99917763157896,2636.1746,21.31793,546.2203,17.67514,570.9717,4.7523,5.609029,-1.6847336,4.6249638,-11.707881,6.0255184,-2.715475,0.81864303,-5.9894533,-1.1014781,-3.0317938,4.7964387,-5.959634,3.2944083,-0.23903394,4.3143587
TROEFBK128F147FD04,reggae,Latin,0.712,5,0.85,92.002,4,0.38816327,0.08502279,0.0037828474,2261.7767652373373,598548.0051781991,-1.1017445e-05,-9.419649e-05,123.046875,3513.7957,19.004232,263.54605,39.920307,282.8632,9.966936,21.25047,1.0715562,8.805826,-3.9953341,1.4878685,-3.545148,5.746628,-3.457202,-0.5185729,-2.4405503,2.0025752,-4.643644,2.9163482,-2.506291,1.5842023
TRLMYOC128E0791629,reggae,RnB,0.608,1,0.606,167.721,4,0.38658193,0.08805148,0.0013069719,2425.247768939906,731664.6654206271,-1.48162e-06,-6.0898088e-05,172.265625,3713.659,-5.289761,500.2705,27.630974,255.60991,6.061506,16.909811,3.714333,15.82674,-2.5328445,8.765937,-3.1714063,2.3685365,-4.5832334,3.366176,-1.7992461,1.3553561,-2.6124406,4.3017626,-4.7769804,-1.2523028
TREHHMF128F4291A3A,"rock, reggae",Latin,0.648,4,0.74,68.467,4,0.3976662,0.08334514,0.006044447,2274.6955021065983,423015.8262144215,-2.8987268e-05,0.00019026033,135.99917763157896,2810.6482,-20.234861,359.45065,19.225714,205.8357,7.6260157,11.449902,-4.4905944,4.119337,1.0795913,10.645131,6.377201,2.2113705,0.2962489,5.0622973,0.991655,2.4439685,0.32030138,3.248523,-3.8359246,7.0877953
TRNYFCZ12903CE4F86,reggae,Reggae,0.49,6,0.357,73.26,4,0.43292236,0.088408746,0.0016849521,2488.219158525219,734996.8993733269,-5.65577e-07,-1.3943595e-05,73.828125,3946.8987,-34.469982,957.1564,39.98819,692.85175,12.688665,7.848444,19.55037,8.466913,7.946368,8.862642,5.85497,8.74058,7.694134,10.011687,-0.34166574,10.591165,1.5079962,-0.06741814,-0.62249887,5.135426
TRCFPZK128F42AEF18,"indie, indie_rock, american, indie_pop, male_vocalists, 00s, guitar",RnB,0.89,2,0.628,154.982,4,0.42593545,0.07094945,0.0020989405,2460.865193283759,128037.54616300086,-6.2552185e-06,-0.00033537453,151.99908088235293,379.291,-20.626286,146.11786,38.241997,110.596245,17.597645,17.290241,0.35234076,9.850814,0.7893933,-0.31720182,-2.779096,8.663978,-2.715418,7.14824,1.9346274,6.697629,2.113782,5.0711412,1.638378,2.5721297
